continent;country;domain;size_bytes;height_px;width_px
Europa;Spanien;primeriti.es;1330503;8125;1920
Europa;Polen;euro.com.pl;27245;1080;1920
Nordamerika;Mexiko;gandhi.com.mx;3207629;7119;1920
Afrika;Nigeria;mtn.ng;2889170;4635;1920
Ozeanien;Neuseeland;thepress.co.nz;8207052;13435;1920
Europa;Niederlande;vakantieveilingen.nl;1752946;3426;1920
Asien;Singapur;posb.com.sg;2524852;3941;1920
Afrika;Uganda;howwe.ug;2724847;7705;1920
Nordamerika;USA;zoom.us;8590;1080;1920
Europa;UK;dailymail.co.uk;9859582;35516;1920
Europa;UK;bbc.co.uk;1924347;7947;1920
Europa;Frankreich;leparisien.fr;3341495;21169;1920
Europa;Spanien;amazon.es;1090790;2881;1920
Europa;Deutschland;amazon.de;59882;1080;1920
Europa;Polen;otomoto.pl;2180545;3688;1920
Europa;Frankreich;actu.fr;2616751;12259;2296
Europa;Deutschland;spiegel.de;293725;1080;1920
Asien;Japan;yahoo.co.jp;283163;1553;1928
Europa;Deutschland;otto.de;4240775;9164;1920
Europa;Frankreich;ouest-france.fr;2974163;18367;1905
Südamerika;Brasilien;olx.com.br;432087;6750;1920
Europa;Frankreich;credit-agricole.fr;310385;1080;1920
Europa;Italien;kahoot.it;306163;1080;1920
Asien;Japan;amazon.co.jp;111587;1080;1920
Europa;Spanien;google.es;170826;1080;1920
Ozeanien;Tonga;dto.to;3308363;4605;1920
Europa;Italien;subito.it;477913;3962;1920
Europa;Italien;ebay.it;1106288;3203;1920
Europa;UK;amazon.co.uk;59824;1080;1920
Südamerika;Kolumbien;videy.co;34322;1080;1920
Europa;UK;telegraph.co.uk;447262;1080;1920
Nordamerika;Kanada;amazon.ca;52255;1080;1920
Südamerika;Brasilien;shopee.com.br;208456;1965;4000
Asien;Indien;amazon.in;1438711;2192;1920
Europa;UK;independent.co.uk;2422706;34994;1920
Europa;UK;ebay.co.uk;2688392;5121;1920
Asien;Japan;dmm.co.jp;66356;1080;1920
Südamerika;Argentinien;lanacion.com.ar;5280336;23196;1920
Asien;Indien;gst.gov.in;1047015;1829;1920
Europa;Italien;amazon.it;48182;1080;1920
Südamerika;Brasilien;mercadolivre.com.br;2076912;3846;1920
Nordamerika;Dominikanische Republik;conectate.com.do;2041273;3711;1920
Südamerika;Brasilien;amazon.com.br;28782;1080;1920
Asien;Indien;satta-king-fixed-no.in;3182053;23043;4000
Südamerika;Argentinien;mercadolibre.com.ar;1047358;4964;1920
Nordamerika;Kanada;cbc.ca;1549235;8574;1920
Europa;Deutschland;ebay.de;1870567;4125;1920
Asien;Philippinen;sss.gov.ph;27591;1080;1920
Europa;Deutschland;bild.de;3627933;26279;1920
Nordamerika;Mexiko;amazon.com.mx;66548;1080;1920
Asien;Indien;epfindia.gov.in;499939;1380;1920
Ozeanien;Australien;news.com.au;2703327;8941;1920
Asien;Indien;sattasport.in;2722336;14580;1920
Europa;Frankreich;flashscore.fr;1246801;13114;1926
Asien;Japan;ameblo.jp;1943687;11122;1920
Asien;Japan;grapee.jp;3803736;7216;1920
Asien;Japan;cmoa.jp;28198;1080;1920
Europa;Spanien;20minutos.es;4729708;29734;1920
Nordamerika;Mexiko;mercadolibre.com.mx;28741;1080;1920
Asien;Japan;zozo.jp;260531;4319;1920
Asien;Philippinen;casinoplus.com.ph;1870418;1080;1920
Europa;Italien;fanpage.it;1880819;12035;1920
Europa;Belgien;hln.be;28045;1080;1920
Ozeanien;Tuvalu;zbporn.tv;2893590;5872;1920
Ozeanien;Tuvalu;jable.tv;3704831;4341;1920
Europa;Polen;mediaexpert.pl;735753;9333;1920
Südamerika;Brasilien;jusbrasil.com.br;51218;1080;1920
Südamerika;Brasilien;flashscore.com.br;321610;3832;1920
Ozeanien;Tuvalu;doujindesu.tv;53476;1080;1920
Europa;Niederlande;ad.nl;27542;1080;1920
Europa;UK;argos.co.uk;1685151;4837;1920
Ozeanien;Tuvalu;bilibili.tv;4338335;3135;1920
Asien;Südkorea;inven.co.kr;3962766;4721;1920
Asien;Japan;mechacomic.jp;7235084;12405;1920
Südamerika;Brasilien;letras.mus.br;737642;4516;1920
Europa;Italien;idealista.it;167843;1080;1920
Europa;Niederlande;telegraaf.nl;3641649;12832;1920
Europa;Frankreich;lefigaro.fr;5228188;31038;1920
Europa;Frankreich;ladepeche.fr;4391575;23828;1920
Europa;Deutschland;merkur.de;3186402;15875;1920
Ozeanien;Tonga;xxxhindi.to;2133505;3837;1920
Ozeanien;Tonga;aniwatchtv.to;798623;2317;1920
Ozeanien;Tonga;tawk.to;1099451;8661;1920
Südamerika;Brasilien;xvideosporno.blog.br;4145711;2834;1920
Europa;Spanien;xnxx.es;1077596;1080;1920
Südamerika;Brasilien;nubank.com.br;8394299;11327;1920
Asien;Indien;aajtak.in;3312506;9970;1920
Europa;Niederlande;marktplaats.nl;379021;3335;1920
Südamerika;Brasilien;google.com.br;172163;1080;1920
Ozeanien;Tuvalu;twitch.tv;82570;1080;1920
Ozeanien;Tonga;bato.to;3347643;4771;1920
Ozeanien;Tonga;9animetv.to;700130;3068;1920
Europa;Polen;olx.pl;2340647;4324;1920
Europa;UK;thesun.co.uk;4111199;19560;1920
Europa;Deutschland;t-online.de;330626;1080;1920
Europa;Deutschland;mobile.de;1050157;4968;1920
Europa;Spanien;xvideos.es;980353;1080;1920
Nordamerika;Mexiko;google.com.mx;28944;1080;1920
Europa;Polen;allegro.pl;27481;1080;1920
Afrika;Südafrika;betway.co.za;767820;2190;1920
Europa;Schweden;aftonbladet.se;312991;1080;1920
Europa;Italien;gazzetta.it;3023859;24714;1920
Südamerika;Brasilien;terra.com.br;1028402;2698;1920
