continent,country,domain,size_bytes,height_px,width_px
Südamerika,Argentinien,app1.comarb.gob.ar,37548,1080,1920
Südamerika,Argentinien,aulastic.infd.edu.ar,278426,1173,1920
Südamerika,Argentinien,auto.mercadolibre.com.ar,21389,1080,1920
Südamerika,Argentinien,betwarrior.bet.ar,87465,1080,1920
Südamerika,Argentinien,campus.uner.edu.ar,330164,1333,1920
Südamerika,Argentinien,campus.untrefvirtual.edu.ar,133644,1080,1920
Südamerika,Argentinien,campus2025.unahur.edu.ar,27411,1080,1920
Südamerika,Argentinien,cashier.betwarrior.bet.ar,87067,1080,1920
Südamerika,Argentinien,diaonline.supermercadosdia.com.ar,1148071,6123,1920
Südamerika,Argentinien,docentessie.chaco.gob.ar,38304,1080,1920
Südamerika,Argentinien,fe.afip.gob.ar,12476,1080,1920
Südamerika,Argentinien,liva.afip.gob.ar,50251,1278,1920
Südamerika,Argentinien,login.buenosaires.gob.ar,852088,1367,1920
Südamerika,Argentinien,loteria.chaco.gov.ar,36831,1080,1920
Südamerika,Argentinien,m.ruta1000.com.ar,192179,1080,1920
Südamerika,Argentinien,mitramite.renaper.gob.ar,74661,1080,1920
Südamerika,Argentinien,news.agrofy.com.ar,48068,1080,1920
Südamerika,Argentinien,onboarding.credicuotas.com.ar,142516,1196,1920
Südamerika,Argentinien,pba.bplay.bet.ar,86412,1080,1920
Südamerika,Argentinien,pba.sportsbet.bet.ar,48118,1080,1920
Südamerika,Argentinien,reservapasajes.cnrt.gob.ar,73848,1080,1920
Südamerika,Argentinien,santafe.bplay.bet.ar,86500,1080,1920
Südamerika,Argentinien,servicioswww.anses.gob.ar,23874,1080,1920
Südamerika,Argentinien,siapweb.cloud.afip.gob.ar,8511,1080,1920
Südamerika,Argentinien,suna.abc.gob.ar,1301930,1217,1920
Südamerika,Argentinien,tiendaonline.movistar.com.ar,1352233,5592,1920
Südamerika,Argentinien,tramitesadistancia.gob.ar,299495,1324,1920
Südamerika,Argentinien,transferencias.bancogalicia.com.ar,83895,1080,1920
Südamerika,Argentinien,viacargo.com.ar,2222389,4382,1920
Südamerika,Argentinien,www.0221.com.ar,2630481,10769,1920
Südamerika,Argentinien,www.adnsur.com.ar,6375865,28093,1920
Südamerika,Argentinien,www.airedesantafe.com.ar,3900043,20333,1920
Südamerika,Argentinien,www.bbva.com.ar,2699612,9526,1921
Südamerika,Argentinien,www.bet365.bet.ar,87285,1080,1920
Südamerika,Argentinien,www.betano.bet.ar,146321,1080,1920
Südamerika,Argentinien,www.bna.com.ar,268631,1339,1920
Südamerika,Argentinien,www.bplay.bet.ar,1535721,3251,1920
Südamerika,Argentinien,www.cba24n.com.ar,7147779,12997,1920
Südamerika,Argentinien,www.cetrogar.com.ar,2194825,10352,1920
Südamerika,Argentinien,www.despegar.com.ar,40828,1080,1920
Südamerika,Argentinien,www.dnrec.jus.gov.ar,219498,2309,1920
Südamerika,Argentinien,www.dnrpa.gov.ar,1204664,5314,1920
Südamerika,Argentinien,www.eldiariodelapampa.com.ar,13109578,17419,1920
Südamerika,Argentinien,www.flechabus.com.ar,5388117,4348,1920
Südamerika,Argentinien,www.gba.gob.ar,3243547,4108,1920
Südamerika,Argentinien,www.jugandoonline.com.ar,1052593,4495,1920
Südamerika,Argentinien,www.locanto.com.ar,44396,1080,1920
Südamerika,Argentinien,www.losandes.com.ar,2564829,21843,1920
Südamerika,Argentinien,www.loteriasmundiales.com.ar,1016628,4922,1920
Südamerika,Argentinien,www.macro.com.ar,8511,1080,1920
Südamerika,Argentinien,www.movistararena.com.ar,1243733,1080,1920
Südamerika,Argentinien,www.ole.com.ar,7445201,25113,1949
Südamerika,Argentinien,www.padron.gob.ar,32722,1080,1920
Südamerika,Argentinien,www.parati.com.ar,3593741,12644,1920
Südamerika,Argentinien,www.pedidosya.com.ar,43532,1080,1920
Südamerika,Argentinien,www.personal.com.ar,1019336,5944,1920
Südamerika,Argentinien,www.santafe.gov.ar,1192168,1558,1920
Südamerika,Argentinien,www.smn.gob.ar,43437,1080,1920
Südamerika,Argentinien,www.solodeportes.com.ar,31407,1088,1920
Südamerika,Argentinien,www.vea.com.ar,5005418,9098,1920
Ozeanien,Australien,7news.com.au,2877969,6748,1920
Ozeanien,Australien,abr.business.gov.au,204445,1211,1920
Ozeanien,Australien,amp.nine.com.au,14155,1080,1920
Ozeanien,Australien,app.inspectrealestate.com.au,18357,1080,1920
Ozeanien,Australien,asp.tramada.com.au,8511,1080,1920
Ozeanien,Australien,banking.westpac.com.au,285486,1359,1920
Ozeanien,Australien,biaustralia.com.au,639767,1080,1920
Ozeanien,Australien,billyj.com.au,9137180,6183,1920
Ozeanien,Australien,canvas.flinders.edu.au,1634079,1080,1920
Ozeanien,Australien,echo360.net.au,35049,1080,1920
Ozeanien,Australien,education.nsw.gov.au,1746486,3036,1920
Ozeanien,Australien,harmonyweb.au,165770,1080,1920
Ozeanien,Australien,ilearn.mq.edu.au,2074750,1688,1920
Ozeanien,Australien,lo.unisa.edu.au,8511,1080,1920
Ozeanien,Australien,login.my.gov.au,64382,1514,1920
Ozeanien,Australien,my.gov.au,836291,2165,1920
Ozeanien,Australien,myrecord.ehealth.gov.au,64382,1514,1920
Ozeanien,Australien,myuni.adelaide.edu.au,2199213,1080,1920
Ozeanien,Australien,online.fireflyeducation.com.au,112655,1080,1920
Ozeanien,Australien,reg.bom.gov.au,1092084,1985,1920
Ozeanien,Australien,scholar.google.com.au,37982,1080,1920
Ozeanien,Australien,shop.symbion.com.au,722743,1470,1920
Ozeanien,Australien,uclearn.canberra.edu.au,43565,1080,1920
Ozeanien,Australien,workspaces.pexa.com.au,49372,1080,1920
Ozeanien,Australien,www.afl.com.au,2408282,9544,1920
Ozeanien,Australien,www.allhomes.com.au,2601221,3605,1920
Ozeanien,Australien,www.amartfurniture.com.au,3406593,10636,1920
Ozeanien,Australien,www.ancestry.com.au,35583,1080,1920
Ozeanien,Australien,www.boatsonline.com.au,1064970,2052,1920
Ozeanien,Australien,www.bunnings.com.au,46636,1080,1920
Ozeanien,Australien,www.carsales.com.au,126056,1080,1920
