Continent,Country,Domain,mean_hue,mean_saturation,mean_value,color_ratio,diversity,score
Südamerika,Argentinien,app1.comarb.gob.ar,3.7852,0.6412,250.7439,0.0015,10,0.0099
Südamerika,Argentinien,aulastic.infd.edu.ar,36.7569,37.0515,200.5884,0.2857,26,275.2387
Südamerika,Argentinien,auto.mercadolibre.com.ar,1.4092,8.223,254.5912,0.0495,6,2.4437
Südamerika,Argentinien,betwarrior.bet.ar,0.0579,1.6305,245.386,0.008,5,0.0656
Südamerika,Argentinien,campus.uner.edu.ar,21.7835,11.4629,246.7148,0.052,30,17.8815
Südamerika,Argentinien,campus.untrefvirtual.edu.ar,0.9689,0.5056,226.4019,0.003,30,0.0462
Südamerika,Argentinien,campus2025.unahur.edu.ar,10.7095,27.4515,233.6092,0.1099,6,18.0947
Südamerika,Argentinien,cashier.betwarrior.bet.ar,0.0586,1.6304,245.3856,0.008,5,0.0656
Südamerika,Argentinien,diaonline.supermercadosdia.com.ar,11.2888,17.927,244.8689,0.0785,30,42.2306
Südamerika,Argentinien,docentessie.chaco.gob.ar,3.7852,0.6412,250.7296,0.0015,10,0.0099
Südamerika,Argentinien,fe.afip.gob.ar,0.0161,0.0223,254.8633,0.0001,2,0.0
Südamerika,Argentinien,liva.afip.gob.ar,90.0707,5.7749,244.9281,0.0063,9,0.3266
Südamerika,Argentinien,login.buenosaires.gob.ar,41.4166,103.9353,163.8594,0.4595,25,1194.0305
Südamerika,Argentinien,loteria.chaco.gov.ar,3.7852,0.6412,250.7413,0.0015,10,0.0099
Südamerika,Argentinien,m.ruta1000.com.ar,4.3022,23.6394,246.8177,0.1206,25,71.2891
Südamerika,Argentinien,mitramite.renaper.gob.ar,31.7569,52.5083,245.3388,0.2649,26,361.6927
Südamerika,Argentinien,news.agrofy.com.ar,0.0,0.0,253.1359,0.0,1,0.0
Südamerika,Argentinien,onboarding.credicuotas.com.ar,0.1124,0.1334,246.6316,0.0006,3,0.0002
Südamerika,Argentinien,pba.bplay.bet.ar,0.0586,1.6302,245.4119,0.0081,5,0.0657
Südamerika,Argentinien,pba.sportsbet.bet.ar,9.7526,8.6696,238.4212,0.0802,12,8.3438
Südamerika,Argentinien,reservapasajes.cnrt.gob.ar,1.5797,3.4532,248.9581,0.0182,25,1.5733
Südamerika,Argentinien,santafe.bplay.bet.ar,0.058,1.6304,245.4066,0.008,5,0.0656
Südamerika,Argentinien,servicioswww.anses.gob.ar,0.0,0.2685,232.6105,0.0013,1,0.0003
Südamerika,Argentinien,siapweb.cloud.afip.gob.ar,0.0,0.0,255.0,0.0,1,0.0
Südamerika,Argentinien,suna.abc.gob.ar,41.4419,9.1776,169.7663,0.0236,30,6.4888
Südamerika,Argentinien,tiendaonline.movistar.com.ar,31.1611,55.3094,196.8785,0.2781,30,461.4414
Südamerika,Argentinien,tramitesadistancia.gob.ar,16.9524,19.935,221.4641,0.1448,30,86.6079
Südamerika,Argentinien,transferencias.bancogalicia.com.ar,9.335,16.201,252.5871,0.3117,2,10.0988
Südamerika,Argentinien,viacargo.com.ar,28.5898,45.2722,206.9232,0.2579,30,350.2893
Südamerika,Argentinien,www.0221.com.ar,8.8772,13.6705,234.4015,0.0688,30,28.2182
Südamerika,Argentinien,www.adnsur.com.ar,14.5417,10.5813,234.6206,0.0713,30,22.6452
Südamerika,Argentinien,www.airedesantafe.com.ar,19.9955,29.1641,215.4233,0.1789,30,156.5153
Südamerika,Argentinien,www.bbva.com.ar,54.2551,24.0112,238.9088,0.1086,30,78.2242
Südamerika,Argentinien,www.bet365.bet.ar,0.0577,1.6303,245.3985,0.0081,5,0.0657
Südamerika,Argentinien,www.betano.bet.ar,12.5143,151.7688,247.8348,0.5953,30,2710.4894
Südamerika,Argentinien,www.bna.com.ar,22.8471,51.5234,227.3316,0.2535,30,391.7642
Südamerika,Argentinien,www.bplay.bet.ar,20.8759,56.9774,64.8045,0.2652,30,453.3856
Südamerika,Argentinien,www.cba24n.com.ar,23.8786,40.1208,198.6325,0.2313,30,278.3753
Südamerika,Argentinien,www.cetrogar.com.ar,8.7007,19.0823,243.0543,0.0927,30,53.0727
Südamerika,Argentinien,www.despegar.com.ar,0.0,0.0,252.7689,0.0,1,0.0
Südamerika,Argentinien,www.dnrec.jus.gov.ar,21.402,28.4295,219.9825,0.1665,23,108.8732
Südamerika,Argentinien,www.dnrpa.gov.ar,16.9169,11.0797,228.6748,0.0856,29,27.4975
Südamerika,Argentinien,www.eldiariodelapampa.com.ar,22.0805,38.8802,220.3602,0.2231,30,260.2743
Südamerika,Argentinien,www.flechabus.com.ar,73.2491,105.0485,179.1873,0.5925,30,1867.1459
Südamerika,Argentinien,www.gba.gob.ar,36.3271,56.4301,203.1572,0.3558,30,602.3341
Südamerika,Argentinien,www.jugandoonline.com.ar,31.553,52.976,212.5855,0.303,30,481.504
Südamerika,Argentinien,www.locanto.com.ar,0.0256,0.063,253.598,0.0003,9,0.0002
Südamerika,Argentinien,www.losandes.com.ar,17.2884,19.4547,233.3286,0.1266,30,73.8753
Südamerika,Argentinien,www.loteriasmundiales.com.ar,8.1321,49.425,224.4192,0.2524,30,374.2479
Südamerika,Argentinien,www.macro.com.ar,0.0,0.0,255.0,0.0,1,0.0
Südamerika,Argentinien,www.movistararena.com.ar,127.0719,28.1817,39.1237,0.2011,28,158.6848
Südamerika,Argentinien,www.ole.com.ar,22.2606,25.705,200.4611,0.2107,30,162.4748
Südamerika,Argentinien,www.padron.gob.ar,0.0605,0.1235,239.6933,0.0006,23,0.0017
Südamerika,Argentinien,www.parati.com.ar,4.6408,5.8927,228.9612,0.0475,30,8.3982
Südamerika,Argentinien,www.pedidosya.com.ar,97.16,2.1015,251.3562,0.001,8,0.0176
