URL,Land,canonical_HTML_size,downloaded_HTML_size,number_of_meta_tags,number_of_script_tags,number_of_link_tags,total_images,character_count
https://www.toyota.de,Deutschland,203.29,370.46,0,0,2,17,8363
https://www.toyota.fr,Frankreich,222.65,366.75,0,0,2,25,8294
https://www.toyota.co.uk,UK,133.89,243.73,0,0,2,17,5047
https://www.toyota.it,Italien,172.85,341.04,0,0,2,19,7001
https://www.toyota.es,Spanien,141.33,267.48,0,0,2,16,5031
https://www.toyota.com,USA,461.88,621.37,0,0,0,146,13947
https://www.toyota.com.br,Brasilien,128.51,575.93,0,0,0,139,6635
https://www.toyota.com.ar,Argentinien,141.53,476.05,0,0,0,154,8554
https://www.toyota.jp,Japan,30.83,45.24,0,0,0,43,764
https://www.toyota.co.ke,Kenia,81.97,165.61,0,0,6,2,4815
https://www.toyota.co.ug,Uganda,22.43,33.31,0,0,0,62,1482
https://www.toyota.co.tz,Tansania,129.26,253.46,0,0,4,97,6639
https://www.toyota.co.nz,Neuseeland,63.31,117.18,0,0,0,11,758
