rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Information Technology;Content Servers
3,tiktokv.com,Social Networks;Video Streaming
4,instagram.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,google.com,Search Engines
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,fbcdn.net,Social Networks
9,apple.com,Information Technology;Technology
10,gstatic.com,Content Servers
11,akamai.net,Content Servers
12,snapchat.com,Photography;Social Networks
13,capcutapi.com,Content Servers
14,akadns.net,Content Servers
15,doubleclick.net,Advertisements
16,aaplimg.com,Information Technology;Content Servers;Technology
17,app-measurement.com,APIs
18,applovin.com,Business;Technology
19,tiktokcdn-eu.com,Content Servers
20,apple-dns.net,Content Servers
21,tiktokcdn-us.com,Content Servers
22,appsflyersdk.com,Content Servers;APIs
23,akamaiedge.net,Content Servers
24,igamecj.com,Content Servers
25,icloud.com,File Sharing;Content Servers
26,v-videoapp.com,Information Security
27,googlevideo.com,Search Engines;Video Streaming
28,cdn77.org,Content Servers
29,tiktokrow-cdn.com,Content Servers
30,microsoft.com,Information Technology;Business
31,googleusercontent.com,Content Servers
32,ntp.org,Technology;Government/Legal
33,pangle.io,Content Servers
34,shalltry.com,Content Servers
35,tdatamaster.com,Content Servers
36,gvt2.com,Content Servers
37,vungle.com,Business;Technology
38,bytefcdn-oversea.com,Content Servers
39,sc-cdn.net,Content Servers;Social Networks
40,youtube.com,Video Streaming
41,unity3d.com,Gaming;Technology
42,ytimg.com,Content Servers
43,cdninstagram.com,Content Servers
44,xiaomi.com,Technology
45,tiktokv.eu,Content Servers
46,whatsapp.com,Instant Messengers;Internet Phone & VOIP
47,dns.google,Information Technology
48,fastly.net,Information Security;Information Technology;Technology
49,samsung.com,Home & Garden;Technology
50,ttlivecdn.com,Content Servers
51,cloudflare.com,Technology
52,amazonaws.com,Technology
53,mtgglobals.com,Content Servers;Advertisements
54,googlesyndication.com,Search Engines;Advertisements
55,cloudfront.net,Content Servers;Science;Technology
56,android.com,Technology
57,cloudflare-dns.com,Content Servers
58,tiktokpangle.us,Content Servers
59,channelcom.tech,Content Servers
60,gvt1.com,Content Servers
61,miui.com,Technology
62,ttdns2.com,Content Servers
63,samsungcloud.com,Content Servers
64,vivoglobal.com,Technology
65,crashlytics.com,Information Technology;Shareware/Freeware
66,app-analytics-services.com,Content Servers
67,byteglb.com,Content Servers
68,byteoversea.net,Content Servers
69,gjacky.com,Content Servers
70,gcdn.co,Content Servers
71,inmobi.com,Business
72,rocket-cdn.com,Content Servers
73,gcloudcs.com,Gaming
74,i18n-pglstatp.com,Content Servers
75,fbsbx.com,Content Servers
76,like.video,Shareware/Freeware
77,samsungapps.com,Technology
78,imoim.net,Content Servers
79,imolive2.com,Content Servers
80,likeevideo.ru,Shareware/Freeware;Photography
81,ggpht.com,Content Servers
82,ibyteimg.com,Content Servers
83,fbpigeon.com,Social Networks
84,capcut.com,Technology
85,pubgmobile.com,Gaming
86,one.one,Information Technology
87,digicert.com,Information Security
88,amazon-adsystem.com,Advertisements
89,listdl.com,Content Servers
90,cdn-apple.com,Content Servers
91,inner-active.mobi,Content Servers
92,twimg.com,Content Servers
93,qlivecdn.com,Content Servers
94,googleadservices.com,Advertisements
95,fastly-edge.com,Content Servers
96,weather.com,News & Media;Weather
97,alibaba.com,Auctions & Marketplaces;Shopping
98,bigo.sg,Technology
99,qq.com,News & Media
100,mzstatic.com,Information Technology;Technology
