rank,domain,categories
1,vivo.com.cn,Technology
2,douyincdn.com,Content Servers
3,microsoft.com,Information Technology;Business
4,qq.com,News & Media
5,apple.com,Information Technology;Technology
6,google.com,Search Engines
7,googleapis.com,Information Technology;Content Servers
8,baidu.com,Search Engines
9,cib.com.cn,Personal Finance
10,gstatic.com,Content Servers
11,volcfcdndvs.com,Content Servers
12,douyinvod.com,Content Servers
13,akadns.net,Content Servers
14,zijieapi.com,Content Servers
15,wsdvs.com,Content Servers
16,ks-cdn.com,Content Servers
17,yximgs.com,Content Servers
18,ntp.org,Technology;Government/Legal
19,bilibili.com,Video Streaming
20,aaplimg.com,Information Technology;Content Servers;Technology
21,wswebpic.com,Technology
22,amemv.com,Shareware/Freeware
23,xiaohongshu.com,Video Streaming
24,qlivecdn.com,Content Servers
25,taobao.com,Ecommerce
26,dgsltx.com,Ecommerce
27,pstatp.com,Content Servers
28,ixigua.com,Video Streaming
29,midea.com,Home & Garden
30,apple-dns.net,Content Servers
31,xhscdn.com,Content Servers
32,aliyuncs.com,Content Servers
33,360.cn,Technology
34,bytefcdn.com,Content Servers
35,tencent-cloud.net,Content Servers
36,icloud.com,File Sharing;Content Servers
37,cdnhwc3.com,Technology
38,bing.com,Search Engines
39,bytedance.com,Business
40,bdydns.com,Content Servers
41,cdnhwc1.com,Technology
42,tdnsv5.com,Content Servers
43,amap.com,Reference
44,inkuai.com,Shareware/Freeware
45,alicdn.com,Content Servers
46,douyinpic.com,Content Servers
47,snssdk.com,News & Media;Shareware/Freeware
48,bcelive.com,Content Servers
49,meituan.net,Content Servers
50,hdslb.com,Content Servers
51,aispeech.com,Technology
52,office.com,Business
53,163.com,News & Media
54,cdnhwczba04.com,Content Servers
55,tencent.com,Technology
56,akamai.net,Content Servers
57,ksyuncdn.com,Content Servers
58,jomodns.com,Content Servers
59,chinamobile.com,News & Media
60,byteimg.com,Content Servers
61,sogou.com,Search Engines
62,cloudflare.com,Technology
63,bilivideo.com,Content Servers
64,cdngslb.com,Content Servers
65,meituan.com,Ecommerce;News & Media;Search Engines
66,ndcpp.com,Content Servers
67,douyin.com,Video Streaming
68,akamaiedge.net,Content Servers
69,facebook.com,Social Networks
70,xiaomi.com,Technology
71,jd.com,Ecommerce
72,wswebcdn.com,Content Servers
73,gifshow.com,Shareware/Freeware
74,ksapisrv.com,Content Servers
75,dbankcloud.cn,Technology
76,bvfcdn.com,Content Servers
77,amazonaws.com,Technology
78,msn.cn,News & Media
79,live.com,Technology;Webmail
80,quark.cn,Artificial Intelligence
81,icloud.com.cn,Technology
82,bytedns1.com,Content Servers
83,kwimgs.com,Shareware/Freeware
84,aliyun.com,Technology
85,gvt2.com,Content Servers
86,pinduoduo.com,Shopping
87,doubao.com,Business
88,qq.com.cn,News & Media;Search Engines
89,ecombdapi.com,Content Servers
90,douyinstatic.com,Content Servers
91,qpic.cn,Content Servers
92,netease.com,News & Media
93,apple-dns.cn,Content Servers
94,cloudflare-dns.com,Content Servers
95,ctdns.cn,Content Servers
96,mi.com,Information Technology;Technology
97,myqcloud.com,Content Servers
98,windowsupdate.com,Information Technology;Business
99,tcdnlive.com,Content Servers
100,feishu.cn,Technology
