rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,instagram.com,Social Networks
6,cloudflare.com,Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,youtube.com,Video Streaming
10,microsoft.com,Information Technology;Business
11,gvt2.com,Content Servers
12,doubleclick.net,Advertisements
13,googlevideo.com,Search Engines;Video Streaming
14,apple.com,Information Technology;Technology
15,tiktokv.com,Social Networks;Video Streaming
16,fbcdn.net,Social Networks
17,akamai.net,Content Servers
18,shopee.co.id,Ecommerce
19,googleusercontent.com,Content Servers
20,googlesyndication.com,Search Engines;Advertisements
21,ytimg.com,Content Servers
22,vivoglobal.com,Technology
23,whatsapp.com,Instant Messengers;Internet Phone & VOIP
24,akadns.net,Content Servers
25,ibyteimg.com,Content Servers
26,roblox.com,Gaming;Safe for Kids
27,ntp.org,Technology;Government/Legal
28,kwai-pro.com,Content Servers
29,amazonaws.com,Technology
30,capcutapi.com,Content Servers
31,heytapmobile.com,Content Servers
32,spotify.com,Audio Streaming
33,google-analytics.com,Business;Technology
34,googleadservices.com,Advertisements
35,kwaipros.com,Content Servers
36,appsflyersdk.com,Content Servers;APIs
37,akamaiedge.net,Content Servers
38,googletagmanager.com,Content Servers
39,shopeemobile.com,Ecommerce
40,aaplimg.com,Information Technology;Content Servers;Technology
41,gvt1.com,Content Servers
42,bing.com,Search Engines
43,cloudflare-dns.com,Content Servers
44,heytapdl.com,Content Servers
45,apple-dns.net,Content Servers
46,cloudfront.net,Content Servers;Science;Technology
47,ggpht.com,Content Servers
48,applovin.com,Business;Technology
49,susercontent.com,Content Servers
50,google.co.id,Search Engines
51,netflix.com,Movies;Video Streaming
52,msn.com,News & Media
53,xiaomi.com,Technology
54,pangle.io,Content Servers
55,tiktok.com,Social Networks;Video Streaming
56,byteoversea.com,Content Servers
57,shalltry.com,Content Servers
58,fastly.net,Information Security;Information Technology;Technology
59,allawnos.com,Content Servers
60,ampproject.org,Information Technology
61,live.com,Technology;Webmail
62,android.com,Technology
63,xhpingcdn.com,Content Servers
64,icloud.com,File Sharing;Content Servers
65,app-measurement.com,APIs
66,kwai.net,Technology
67,cdninstagram.com,Content Servers
68,amazon-adsystem.com,Advertisements
69,nel.goog,Content Servers
70,cloudflareinsights.com,Technology
71,unity3d.com,Gaming;Technology
72,tiktokrow-cdn.com,Content Servers
73,miui.com,Technology
74,office.com,Business
75,mythad.com,Business;Vehicles
76,ttdns2.com,Content Servers
77,vungle.com,Business;Technology
78,tokopedia.com,Ecommerce
79,bytefcdn-oversea.com,Content Servers
80,tiktokcdn-eu.com,Content Servers
81,tsyndicate.com,Advertisements
82,yahoo.com,News & Media
83,dns.google,Information Technology
84,adtrafficquality.google,Information Security
85,baidu.com,Search Engines
86,otidapi.com,Content Servers
87,amazon.com,Ecommerce
88,opera.com,Technology
89,qq.com,News & Media
90,rubiconproject.com,Business;Technology
91,tiktokcdn-us.com,Content Servers
92,pubmatic.com,Business;Technology
93,tmtreader.com,Content Servers
94,ap4r.com,Content Servers
95,byteoversea.net,Content Servers
96,rocket-cdn.com,Content Servers
97,kwai.com,Video Streaming
98,aliyuncs.com,Content Servers
99,kslawin.com,Social Networks
100,xnxx-cdn.com,CIPA Filter;Pornography
