rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,naver.com,News & Media
4,microsoft.com,Information Technology;Business
5,gstatic.com,Content Servers
6,facebook.com,Social Networks
7,cloudflare.com,Technology
8,apple.com,Information Technology;Technology
9,tabacodeliarbarato.es,CIPA Filter;Shopping;Compromised Domain;Tobacco
10,googlevideo.com,Search Engines;Video Streaming
11,doubleclick.net,Advertisements
12,instagram.com,Social Networks
13,youtube.com,Video Streaming
14,criteo.com,Business
15,kakao.com,Technology
16,akadns.net,Content Servers
17,gmarket.co.kr,Ecommerce
18,googletagmanager.com,Content Servers
19,bing.com,Search Engines
20,apple-dns.net,Content Servers
21,gvt2.com,Content Servers
22,amazonaws.com,Technology
23,nhnace.com,Business;Technology
24,icloud.com,File Sharing;Content Servers
25,googlesyndication.com,Search Engines;Advertisements
26,akamai.net,Content Servers
27,aaplimg.com,Information Technology;Content Servers;Technology
28,daum.net,News & Media;Video Streaming
29,googleusercontent.com,Content Servers
30,ip-api.com,Technology
31,office.com,Business
32,go-mpulse.net,Content Servers
33,coupang.com,Ecommerce
34,google-analytics.com,Business;Technology
35,adsmoloco.com,Business;Technology
36,ytimg.com,Content Servers
37,moloco.com,Business;Technology
38,live.com,Technology;Webmail
39,akamaiedge.net,Content Servers
40,msn.com,News & Media
41,coupangcdn.com,Content Servers
42,adrta.com,Business
43,fbcdn.net,Social Networks
44,daumcdn.net,Content Servers
45,kakaocdn.net,Content Servers
46,cloudflare-dns.com,Content Servers
47,googleadservices.com,Advertisements
48,google.co.kr,Search Engines
49,creativecdn.com,Content Servers
50,tiktokv.com,Social Networks;Video Streaming
51,facebook.net,Social Networks
52,cloudfront.net,Content Servers;Science;Technology
53,alicdn.com,Content Servers
54,sentry.io,Business
55,app-analytics-services.com,Content Servers
56,chatgpt.com,Artificial Intelligence;Chat
57,ubuntu.com,Technology
58,ahnlab.com,Information Security
59,windowsupdate.com,Information Technology;Business
60,11st.co.kr,Ecommerce
61,ipinfo.io,Technology
62,appier.net,Business
63,skype.com,Instant Messengers;Internet Phone & VOIP
64,ntp.org,Technology;Government/Legal
65,fastly.net,Information Security;Information Technology;Technology
66,ggpht.com,Content Servers
67,tiktokcdn.com,Content Servers;Social Networks
68,gvt1.com,Content Servers
69,admixer.co.kr,Business
70,cdninstagram.com,Content Servers
71,adtrafficquality.google,Information Security
72,kgslb.com,Content Servers
73,app-measurement.com,APIs
74,ipify.org,Technology
75,appsflyersdk.com,Content Servers;APIs
76,digicert.com,Information Security
77,windows.com,Information Technology
78,auction.co.kr,Ecommerce
79,rixengine.com,Content Servers
80,azure.com,Technology
81,tiktok.com,Social Networks;Video Streaming
82,steamserver.net,Gaming;Content Servers
83,gmarket.com,Ecommerce
84,criteo.net,Business
85,clarity.ms,Content Servers
86,netflix.com,Movies;Video Streaming
87,qq.com,News & Media
88,office.net,Content Servers
89,akamaized.net,Content Servers
90,toss.im,Personal Finance
91,nexon.com,Gaming
92,oxylabs.io,Business;Technology
93,navercorp.com,News & Media
94,spotify.com,Audio Streaming
95,msftncsi.com,Content Servers
96,about.co.kr,Ecommerce
97,jsdelivr.net,Content Servers
98,nheos.com,Content Servers
99,fastly-edge.com,Content Servers
100,rubiconproject.com,Business;Technology
