rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,facebook.com,Social Networks
4,microsoft.com,Information Technology;Business
5,gstatic.com,Content Servers
6,apple.com,Information Technology;Technology
7,amazonaws.com,Technology
8,instagram.com,Social Networks
9,fbcdn.net,Social Networks
10,tiktokcdn.com,Content Servers;Social Networks
11,cloudflare.com,Technology
12,akadns.net,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,tiktokv.com,Social Networks;Video Streaming
16,youtube.com,Video Streaming
17,ntp.org,Technology;Government/Legal
18,doubleclick.net,Advertisements
19,icloud.com,File Sharing;Content Servers
20,apple-dns.net,Content Servers
21,akamai.net,Content Servers
22,akamaiedge.net,Content Servers
23,office.com,Business
24,qq.com,News & Media
25,googleusercontent.com,Content Servers
26,aaplimg.com,Information Technology;Content Servers;Technology
27,gvt2.com,Content Servers
28,cloudfront.net,Content Servers;Science;Technology
29,live.com,Technology;Webmail
30,cdninstagram.com,Content Servers
31,azure.com,Technology
32,bing.com,Search Engines
33,cloudflare-dns.com,Content Servers
34,douyincdn.com,Content Servers
35,googlesyndication.com,Search Engines;Advertisements
36,ytimg.com,Content Servers
37,baidu.com,Search Engines
38,google-analytics.com,Business;Technology
39,chatgpt.com,Artificial Intelligence;Chat
40,windows.net,Technology
41,googletagmanager.com,Content Servers
42,digicert.com,Information Security
43,fastly.net,Information Security;Information Technology;Technology
44,appsflyersdk.com,Content Servers;APIs
45,spotify.com,Audio Streaming
46,msftncsi.com,Content Servers
47,microsoftonline.com,Technology
48,app-measurement.com,APIs
49,dns.google,Information Technology
50,msn.com,News & Media
51,office.net,Content Servers
52,github.com,Technology
53,ubuntu.com,Technology
54,trafficmanager.net,Information Technology;Content Servers
55,yahoo.com,News & Media
56,windows.com,Information Technology
57,whatsapp.com,Instant Messengers;Internet Phone & VOIP
58,gvt1.com,Content Servers
59,tiktok.com,Social Networks;Video Streaming
60,gmail.com,Webmail
61,sentry.io,Business
62,windowsupdate.com,Information Technology;Business
63,googleadservices.com,Advertisements
64,skype.com,Instant Messengers;Internet Phone & VOIP
65,taobao.com,Ecommerce
66,app-analytics-services.com,Content Servers
67,aliyuncs.com,Content Servers
68,ggpht.com,Content Servers
69,amazon.com,Ecommerce
70,amazon-adsystem.com,Advertisements
71,applovin.com,Business;Technology
72,tiktokcdn-us.com,Content Servers
73,msftconnecttest.com,Content Servers
74,roblox.com,Gaming;Safe for Kids
75,telegram.org,Instant Messengers
76,xiaomi.com,Technology
77,snapchat.com,Photography;Social Networks
78,office365.com,Technology
79,steamserver.net,Gaming;Content Servers
80,clarity.ms,Content Servers
81,fastly-edge.com,Content Servers
82,zijieapi.com,Content Servers
83,netflix.com,Movies;Video Streaming
84,cursor.sh,Artificial Intelligence
85,unity3d.com,Gaming;Technology
86,cdn-apple.com,Content Servers
87,twimg.com,Content Servers
88,xiaohongshu.com,Video Streaming
89,twitter.com,Social Networks
90,byteoversea.com,Content Servers
91,miui.com,Technology
92,ip-api.com,Technology
93,mozilla.com,Shareware/Freeware
94,githubusercontent.com,Technology
95,rubiconproject.com,Business;Technology
96,alicdn.com,Content Servers
97,outlook.com,Webmail
98,cloudflareinsights.com,Technology
99,grammarly.com,Artificial Intelligence;Hobbies & Interests
100,sharepoint.com,File Sharing;Technology
