rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,facebook.com,Social Networks
4,microsoft.com,Information Technology;Business
5,gstatic.com,Content Servers
6,apple.com,Information Technology;Technology
7,fbcdn.net,Social Networks
8,cloudflare.com,Technology
9,tiktokcdn.com,Content Servers;Social Networks
10,tiktokv.com,Social Networks;Video Streaming
11,zalo.me,Instant Messengers
12,youtube.com,Video Streaming
13,akadns.net,Content Servers
14,akamai.net,Content Servers
15,gvt2.com,Content Servers
16,akamaiedge.net,Content Servers
17,googlevideo.com,Search Engines;Video Streaming
18,doubleclick.net,Advertisements
19,amazonaws.com,Technology
20,apple-dns.net,Content Servers
21,office.com,Business
22,googleusercontent.com,Content Servers
23,aaplimg.com,Information Technology;Content Servers;Technology
24,icloud.com,File Sharing;Content Servers
25,cloudflare-dns.com,Content Servers
26,ntp.org,Technology;Government/Legal
27,shopee.vn,Ecommerce
28,live.com,Technology;Webmail
29,instagram.com,Social Networks
30,zaloapp.com,Instant Messengers
31,google-analytics.com,Business;Technology
32,zadn.vn,Content Servers
33,cloudfront.net,Content Servers;Science;Technology
34,tiktok.com,Social Networks;Video Streaming
35,zdn.vn,Content Servers
36,windowsupdate.com,Information Technology;Business
37,googletagmanager.com,Content Servers
38,fastly.net,Information Security;Information Technology;Technology
39,ytimg.com,Content Servers
40,googlesyndication.com,Search Engines;Advertisements
41,bing.com,Search Engines
42,dns.google,Information Technology
43,appsflyersdk.com,Content Servers;APIs
44,azure.com,Technology
45,qq.com,News & Media
46,google.com.vn,Search Engines
47,msn.com,News & Media
48,app-analytics-services.com,Content Servers
49,ubuntu.com,Technology
50,app-measurement.com,APIs
51,baidu.com,Search Engines
52,chatgpt.com,Artificial Intelligence;Chat
53,digicert.com,Information Security
54,gmail.com,Webmail
55,skype.com,Instant Messengers;Internet Phone & VOIP
56,msftncsi.com,Content Servers
57,shopeemobile.com,Ecommerce
58,aliyuncs.com,Content Servers
59,gvt1.com,Content Servers
60,office.net,Content Servers
61,ggpht.com,Content Servers
62,spotify.com,Audio Streaming
63,cdn77.org,Content Servers
64,bytefcdn-oversea.com,Content Servers
65,ibyteimg.com,Content Servers
66,pki.goog,Information Security
67,trafficmanager.net,Information Technology;Content Servers
68,yahoo.com,News & Media
69,telegram.org,Instant Messengers
70,zing.vn,Audio Streaming
71,whatsapp.net,Instant Messengers;Internet Phone & VOIP
72,appsflyer.com,Business;Technology
73,ttdns2.com,Content Servers
74,microsoftonline.com,Technology
75,amazon.com,Ecommerce
76,clarity.ms,Content Servers
77,cloudflareinsights.com,Technology
78,github.com,Technology
79,nel.goog,Content Servers
80,sentry.io,Business
81,googleadservices.com,Advertisements
82,applovin.com,Business;Technology
83,cdn-apple.com,Content Servers
84,windows.com,Information Technology
85,ipify.org,Technology
86,douyincdn.com,Content Servers
87,byteoversea.com,Content Servers
88,facebook.net,Social Networks
89,capcutapi.com,Content Servers
90,githubusercontent.com,Technology
91,adtrafficquality.google,Information Security
92,fastly-edge.com,Content Servers
93,one.one,Information Technology
94,ip-api.com,Technology
95,amazon-adsystem.com,Advertisements
96,coccoc.com,Shareware/Freeware
97,roblox.com,Gaming;Safe for Kids
98,criteo.com,Business
99,tiktokcdn-us.com,Content Servers
100,mozilla.com,Shareware/Freeware
