rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,microsoft.com,Information Technology;Business
4,facebook.com,Social Networks
5,apple.com,Information Technology;Technology
6,gstatic.com,Content Servers
7,akadns.net,Content Servers
8,instagram.com,Social Networks
9,akamaiedge.net,Content Servers
10,amazonaws.com,Technology
11,akamai.net,Content Servers
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,ntp.org,Technology;Government/Legal
16,apple-dns.net,Content Servers
17,aaplimg.com,Information Technology;Content Servers;Technology
18,office.com,Business
19,icloud.com,File Sharing;Content Servers
20,cloudflare.com,Technology
21,azure.com,Technology
22,doubleclick.net,Advertisements
23,fastly.net,Information Security;Information Technology;Technology
24,cloudfront.net,Content Servers;Science;Technology
25,tiktokcdn.com,Content Servers;Social Networks
26,fbcdn.net,Social Networks
27,cloudflare-dns.com,Content Servers
28,googleusercontent.com,Content Servers
29,trafficmanager.net,Information Technology;Content Servers
30,tiktokv.com,Social Networks;Video Streaming
31,live.com,Technology;Webmail
32,googlesyndication.com,Search Engines;Advertisements
33,cdninstagram.com,Content Servers
34,spotify.com,Audio Streaming
35,ytimg.com,Content Servers
36,ui.com,Technology
37,gvt2.com,Content Servers
38,digicert.com,Information Security
39,bing.com,Search Engines
40,tiktokv.eu,Content Servers
41,snapchat.com,Photography;Social Networks
42,amazon.com,Ecommerce
43,app-measurement.com,APIs
44,yahoo.com,News & Media
45,office.net,Content Servers
46,app-analytics-services.com,Content Servers
47,windowsupdate.com,Information Technology;Business
48,tiktokcdn-eu.com,Content Servers
49,googletagmanager.com,Content Servers
50,google-analytics.com,Business;Technology
51,gmail.com,Webmail
52,amazon-adsystem.com,Advertisements
53,microsoftonline.com,Technology
54,ubuntu.com,Technology
55,chatgpt.com,Artificial Intelligence;Chat
56,netflix.com,Movies;Video Streaming
57,appsflyersdk.com,Content Servers;APIs
58,google.de,Search Engines
59,steamserver.net,Gaming;Content Servers
60,outlook.com,Webmail
61,github.com,Technology
62,office365.com,Technology
63,skype.com,Instant Messengers;Internet Phone & VOIP
64,googleadservices.com,Advertisements
65,sentry.io,Business
66,gvt1.com,Content Servers
67,mozilla.com,Shareware/Freeware
68,ggpht.com,Content Servers
69,unity3d.com,Gaming;Technology
70,dns.google,Information Technology
71,applovin.com,Business;Technology
72,windows.net,Technology
73,msftconnecttest.com,Content Servers
74,cdn-apple.com,Content Servers
75,msftncsi.com,Content Servers
76,yandex.net,News & Media
77,msn.com,News & Media
78,avast.com,Technology
79,cdn77.org,Content Servers
80,whatsapp.com,Instant Messengers;Internet Phone & VOIP
81,tiktokcdn-us.com,Content Servers
82,amazon.de,Ecommerce
83,yandex.ru,News & Media
84,windows.com,Information Technology
85,edgesuite.net,Content Servers
86,mzstatic.com,Information Technology;Technology
87,criteo.com,Business
88,cloudflare.net,Information Technology;Technology
89,xiaomi.com,Technology
90,a2z.com,Content Servers
91,sharepoint.com,File Sharing;Technology
92,samsung.com,Home & Garden;Technology
93,fastly-edge.com,Content Servers
94,clarity.ms,Content Servers
95,rubiconproject.com,Business;Technology
96,vungle.com,Business;Technology
97,roblox.com,Gaming;Safe for Kids
98,adtrafficquality.google,Information Security
99,adnxs.com,Content Servers
100,miui.com,Technology
