rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Information Technology;Content Servers
3,facebook.com,Social Networks
4,apple.com,Information Technology;Technology
5,gstatic.com,Content Servers
6,microsoft.com,Information Technology;Business
7,instagram.com,Social Networks
8,akadns.net,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,googlevideo.com,Search Engines;Video Streaming
11,youtube.com,Video Streaming
12,amazonaws.com,Technology
13,cloudflare.com,Technology
14,akamaiedge.net,Content Servers
15,ntp.org,Technology;Government/Legal
16,akamai.net,Content Servers
17,apple-dns.net,Content Servers
18,tiktokcdn.com,Content Servers;Social Networks
19,icloud.com,File Sharing;Content Servers
20,aaplimg.com,Information Technology;Content Servers;Technology
21,doubleclick.net,Advertisements
22,cloudflare-dns.com,Content Servers
23,fbcdn.net,Social Networks
24,office.com,Business
25,tiktokv.com,Social Networks;Video Streaming
26,googleusercontent.com,Content Servers
27,cloudfront.net,Content Servers;Science;Technology
28,fastly.net,Information Security;Information Technology;Technology
29,azure.com,Technology
30,ytimg.com,Content Servers
31,gvt2.com,Content Servers
32,cdninstagram.com,Content Servers
33,spotify.com,Audio Streaming
34,live.com,Technology;Webmail
35,app-measurement.com,APIs
36,googlesyndication.com,Search Engines;Advertisements
37,yandex.net,News & Media
38,snapchat.com,Photography;Social Networks
39,tiktokv.eu,Content Servers
40,bing.com,Search Engines
41,gmail.com,Webmail
42,app-analytics-services.com,Content Servers
43,digicert.com,Information Security
44,google-analytics.com,Business;Technology
45,googletagmanager.com,Content Servers
46,appsflyersdk.com,Content Servers;APIs
47,yandex.ru,News & Media
48,trafficmanager.net,Information Technology;Content Servers
49,tiktokcdn-eu.com,Content Servers
50,sentry.io,Business
51,windowsupdate.com,Information Technology;Business
52,dns.google,Information Technology
53,ui.com,Technology
54,microsoftonline.com,Technology
55,applovin.com,Business;Technology
56,ggpht.com,Content Servers
57,chatgpt.com,Artificial Intelligence;Chat
58,github.com,Technology
59,gvt1.com,Content Servers
60,unity3d.com,Gaming;Technology
61,skype.com,Instant Messengers;Internet Phone & VOIP
62,tiktokcdn-us.com,Content Servers
63,googleadservices.com,Advertisements
64,yahoo.com,News & Media
65,office.net,Content Servers
66,ubuntu.com,Technology
67,cdn-apple.com,Content Servers
68,mail.ru,Webmail
69,whatsapp.com,Instant Messengers;Internet Phone & VOIP
70,steamserver.net,Gaming;Content Servers
71,amazon.com,Ecommerce
72,netflix.com,Movies;Video Streaming
73,windows.net,Technology
74,amazon-adsystem.com,Advertisements
75,msftncsi.com,Content Servers
76,outlook.com,Webmail
77,xiaomi.com,Technology
78,msn.com,News & Media
79,office365.com,Technology
80,cdn77.org,Content Servers
81,samsung.com,Home & Garden;Technology
82,vungle.com,Business;Technology
83,mozilla.com,Shareware/Freeware
84,windows.com,Information Technology
85,miui.com,Technology
86,vk.com,Social Networks
87,clarity.ms,Content Servers
88,edgesuite.net,Content Servers
89,mzstatic.com,Information Technology;Technology
90,google.nl,Search Engines
91,userapi.com,Social Networks
92,fastly-edge.com,Content Servers
93,msftconnecttest.com,Content Servers
94,pinterest.com,Photography;Social Networks
95,crashlytics.com,Information Technology;Shareware/Freeware
96,roblox.com,Gaming;Safe for Kids
97,phncdn.com,CIPA Filter;Pornography
98,cloudflare.net,Information Technology;Technology
99,githubusercontent.com,Technology
100,linkedin.com,Professional Networking
